"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Indexability","Indexability Status"
"https://veteranstransitionsupport.org/donate/","228","51","4.471","30.129","Hard","Indexable",""
"https://veteranstransitionsupport.org/osha-30-training-for-veterans/","280","53","5.283","30.460","Hard","Indexable",""
"https://veteranstransitionsupport.org/about-us/","716","101","7.089","39.301","Hard","Indexable",""
"https://veteranstransitionsupport.org/education-counseling/","148","29","5.103","33.598","Hard","Indexable",""
"https://veteranstransitionsupport.org/va-work-study-program/","227","44","5.159","45.815","Hard","Indexable",""
"https://veteranstransitionsupport.org/veteran-resources/","814","164","4.963","47.251","Hard","Indexable",""
"https://veteranstransitionsupport.org/board-members/","43","21","2.048","33.589","Hard","Indexable",""
"https://veteranstransitionsupport.org/va-home-loans/","137","22","6.227","46.752","Hard","Indexable",""
"https://veteranstransitionsupport.org/vts-programs/","595","82","7.256","49.607","Hard","Indexable",""
"https://veteranstransitionsupport.org/event/free-on-line-coursera-certification-courses-for-military-and-spouse/","103","45","2.289","47.632","Hard","Indexable",""
"https://veteranstransitionsupport.org/leansixsigmagreenbelt-for-veterans/","223","49","4.551","47.811","Hard","Indexable",""
"https://veteranstransitionsupport.org/event/free-osha-accident-investigation-recordkeeping-course-live-zoom-may-1/","392","87","4.506","46.011","Hard","Indexable",""
