"Address","Occurrences","H2-1","H2-1 Length","H2-2","H2-2 Length","Indexability","Indexability Status"
"https://veteranstransitionsupport.org/board-members/","7","Meet Our Board","14","Russell Levy J.D","16","Indexable",""
"https://veteranstransitionsupport.org/our-instructors/","10","Meet Our Instructors","20","Russell Levy J.D","16","Indexable",""
"https://veteranstransitionsupport.org/event/zoom-osha-30-hour-construction-safety-course-may-18-21-2026-250/","2","Details","7","Organizer","9","Indexable",""
"https://veteranstransitionsupport.org/event/free-on-line-coursera-certification-courses-for-military-and-spouse/","2","Details","7","Organizer","9","Indexable",""
"https://veteranstransitionsupport.org/no-cost-lean-six-sigma-yellow-belt-lssyb/","4","Lean Six Sigma Yellow Belt (LSSYB) Certificate Program","54","What You’ll Learn","17","Indexable",""
"https://veteranstransitionsupport.org/event/may-4-veteran-career-transition-brief-jobs-resources/","6","Veterans Transition Support: Resource Brief & Q&A","49","What You’ll Learn","17","Indexable",""
"https://veteranstransitionsupport.org/event/250-osha-30-hr-construction-safety-in-person-only-may-2-3-9-10-2026/","3","Details","7","Venue","5","Indexable",""
"https://veteranstransitionsupport.org/event/may-4-veteran-career-transition-brief-jobs-resources-on-zoom/","6","Veterans Transition Support: Resource Brief & Q&A","49","What You’ll Learn","17","Indexable",""
"https://veteranstransitionsupport.org/event/free-lean-six-sigma-yellow-belt-live-instructor-led-zoom-may-30-2026/","2","Details","7","Organizer","9","Indexable",""
"https://veteranstransitionsupport.org/event/250-zoom-online-5-day-lean-six-sigma-green-belt-may-4-8-8-5pm-pst/","2","Details","7","Organizer","9","Indexable",""
"https://veteranstransitionsupport.org/event/250-zoom-online-5-day-lean-six-sigma-green-belt-05-30-31-06-6-7-8-5pm-pst/","2","Details","7","Organizer","9","Indexable",""
"https://veteranstransitionsupport.org/event/free-osha-accident-investigation-recordkeeping-course-live-zoom-may-1/","3","FREE OSHA Accident Investigation & Recordkeeping Training","57","Details","7","Indexable",""
"https://veteranstransitionsupport.org/event/250-osha-30-hr-general-safety-live-instruction-04-11-12-18-19-2026/","3","Details","7","Venue","5","Indexable",""
"https://veteranstransitionsupport.org/event/250-zoom-online-5-day-lean-six-sigma-green-belt-may-30-31-jun-6-7-8-5pmpst/","2","Details","7","Organizer","9","Indexable",""
"https://veteranstransitionsupport.org/event/free-lean-six-sigma-yellow-belt-live-instructor-led-zoom-may-4-2026/","2","Details","7","Organizer","9","Indexable",""
"https://veteranstransitionsupport.org/event/may-30-veteran-career-transition-brief-jobs-resources/","6","Veterans Transition Support: Resource Brief & Q&A","49","What You’ll Learn","17","Indexable",""
