"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://veteranstransitionsupport.org/donate/","1","Veterans Transition Support offers military transition programs, free OSHA training, and job support to help veterans succeed in civilian life.","143","856","Indexable",""
"https://veteranstransitionsupport.org/osha-30-safety-training/","1","Veterans Transition Support offers military transition programs, free OSHA training, and job support to help veterans succeed in civilian life.","143","856","Indexable",""
"https://veteranstransitionsupport.org/event/may-4-veteran-career-transition-brief-jobs-resources/","1","Many veterans leave the military with incredible skills — but without clear information about the programs, certifications, and career opportunities available","158","952","Indexable",""
"https://veteranstransitionsupport.org/event/may-4-veteran-career-transition-brief-jobs-resources-on-zoom/","1","Many veterans leave the military with incredible skills — but without clear information about the programs, certifications, and career opportunities available","158","952","Indexable",""
"https://veteranstransitionsupport.org/event/250-zoom-online-5-day-lean-six-sigma-green-belt-may-4-8-8-5pm-pst/","1","LEAN Six Sigma Green Belt- Cost is $250 ( Link to Pay sent to you)","66","406","Indexable",""
"https://veteranstransitionsupport.org/event/250-zoom-online-5-day-lean-six-sigma-green-belt-05-30-31-06-6-7-8-5pm-pst/","1","LEAN Six Sigma Green Belt- Cost is $250 ( Link to Pay sent to you)","66","406","Indexable",""
"https://veteranstransitionsupport.org/event/250-zoom-online-5-day-lean-six-sigma-green-belt-may-30-31-jun-6-7-8-5pmpst/","1","LEAN Six Sigma Green Belt- Cost is $250 ( Link to Pay sent to you)","66","406","Indexable",""
"https://veteranstransitionsupport.org/event/free-lean-six-sigma-yellow-belt-live-instructor-led-zoom-may-30-2026/","1","LEAN Six Sigma Yellow Belt Certification – Live Online (Zoom)For Military Service Members, Veterans, Reservists, and Military Spouses","133","823","Indexable",""
"https://veteranstransitionsupport.org/event/free-lean-six-sigma-yellow-belt-live-instructor-led-zoom-may-4-2026/","1","LEAN Six Sigma Yellow Belt Certification – Live Online (Zoom)For Military Service Members, Veterans, Reservists, and Military Spouses","133","823","Indexable",""
"https://veteranstransitionsupport.org/event/may-30-veteran-career-transition-brief-jobs-resources/","1","Many veterans leave the military with incredible skills — but without clear information about the programs, certifications, and career opportunities available","158","952","Indexable",""
